"NEW_SITE","UPDATE_SITE","SITE_LOC_ID","BASIN","LOCATION","RIVMILE","FIELD_LAT","FIELD_LON","BASIN_NEW","LOCATION_NEW","DESCRIPT","COLL_DATE","ARRIVETIME","COLL_DATE_TIME","CREW","PROJECT","INFO_TYPE","habLab_ID_num","BLOOM_DESC","BLOOM_DESC_2","R_HABLAB_ID","S_HABLAB_ID","CURRENT_WEATHER","PAST_WEATHER","WATER_CHEM","qa_qc_type","SAMP_LOC","EQUIP_USED","TOX","TEMP","COND","PH","DO","PERCENT_SAT","SALINITY","PRIM_CONTACT","SEC_CONTACT","WATER_CLARITY","SUSP_PHYTOPLANKTON","PERIPHYTON","MACROPHYTE","ODOR","TRASH","DISCHARGE_PIPES","PRIM_VARIABLE","SEC_VARIABLE","NOTES","x","y"
"N","N","13-WALK-0.8","B_13","WALK","R_0.8",41.84881,-74.04101,NA,"","","9/5/2018","9:07:00","9/5/2018 9:07","Heitzman,Lojpersberger,Woltmann","WALLKILL","",0,"","","13-WALK-0.8-090518-R","13-WALK-0.8-090518-S","Sun","Sun","X","Not_Sampled","Bridge","Bottle","N",26.7,431,8.5,9.7,121,0.21,"B","A",7,1,NA,0,0,0,0,"Water_Clarity","None","Sampled from dock at Central Hudson recreation area with mercury grab pole",-74.04101,41.84881
"N","X","13-WALK-0.8","B_13","WALK","R_0.8",41.84881,-74.04101,NA,"","Sampld fom location on private property owned by utility company. Site is adjacent to the sturgeon pool location.","7/24/2018","8:56:00","7/24/2018 8:56","Other,Stoll","WALLKILL","",NA,"","","","","Clouds","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",27.3,777,8.17,6.5,81,0.38,"A","A",6,0,3,0,0,0,0,"None","None","This site is privately owned by central hudson system, a company which owns two hydroplants including the sturgeon pool dam/plant. We were buzzed in through the gate by a nice woman and able to take a sample from their boat launch. Old camp.",-74.04101,41.84881
"N","N","13-WALK-0.7","B_13","WALK","R_0.7",41.84063742,-74.04002372,NA,"","","8/16/2018","15:16:00","8/16/2018 15:16","Lojpersberger,Woltmann","WALLKILL","",NA,"","","","","Sun","Clouds","X","Not_Sampled","","Pail","N",24,365.2,7.3,6.97,83.1,0.17,"F","C",8,0,0,0,0,1,2,"Water_Clarity","None","16.2m depth, .20 secchi.Boat",-74.04002372,41.84063742
"X","","13-WALK-0.7","B_13","WALK","R_0.7",41.84705,-74.04382,13,"WALK-0.7","At deep hole of Sturgeon Pool","7/10/2018","10:34:00","7/10/2018 10:34","Heitzman,Lojpersberger,Other,Wright","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Bottle","N",28.5,530,8.6,6.9,91.1,0.25,"C","B",4,4,0,0,1,0,0,"Water_Clarity","Suspended_Phytoplankton","Nicer than upstream location. Sample collected in center of sturgeon pool with dam in sight but avoided getting too close.",-74.04382,41.84705
"N","N","13-WCHEE-0.6","B_13","WCHEE","R_0.6",41.40873,-74.37248,NA,"","","10/4/2018","9:59","10/4/2018 9:59","Lemley,Lojpersberger,Other","WALLKILL","",NA,"","","13-WCHEE-0.6-100418-R","13-WCHEE-0.6-100418-S","Clouds","Rain","X","Not_Sampled","Waded","Bottle","N",16.9,411.7,7.21,6.3,66.2,0.2,"B","B",4,0,1,1,0,2,0,"Trash","None","",-74.37248,41.40873
"N","N","13-WCHEE-0.6","B_13","WCHEE","R_0.6",41.40873,-74.37248,NA,"","","9/6/2018","10:24:00","9/6/2018 10:24","Heitzman,Lojpersberger,Woltmann","WALLKILL","",0,"","","13-WCHEE-0.6-090618-R","13-WCHEE-0.6-090618-S","Sun","Sun","X","MS","Waded","Bottle","N",24.5,1057,7.5,5.8,70,0.52,"D","B",9,1,4,1,1,1,0,"Water_Clarity","Water_Clarity","",-74.37248,41.40873
"N","N","13-WCHEE-0.6","B_13","WCHEE","R_0.6",41.40873,-74.37248,NA,"","","8/15/2018","10:42:00","8/15/2018 10:42","Stoll,Other","WALLKILL","",NA,"","","","","Sun","Clouds","X","EB_FB","Waded","Depth_Integrated","N",22.2,695,7.35,5.75,67,0.34,"C","C",10,0,2,2,2,4,0,"Water_Clarity","Water_Clarity","",-74.37248,41.40873
"N","N","13-WCHEE-0.6","B_13","WCHEE","R_0.6",41.40873,-74.37248,NA,"","","7/25/2018","10:48:00","7/25/2018 10:48","Other,Stoll","WALLKILL","",NA,"","","","","Rain","Clouds","X","Not_Sampled","Waded","Bottle","N",23.8,815,7.37,5.8,69,0.4,"D","D",10,0,2,1,5,2,0,"Water_Clarity","Water_Clarity","",-74.37248,41.40873
"N","N","13-WCHEE-0.6","B_13","WCHEE","R_0.6",41.40857561,-74.37234525,NA,"","","7/11/2018","13:45:00","7/11/2018 13:45","Heitzman,Lojpersberger,Other,Wright","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",26.5,1315,7.6,6.7,84,0.65,"D","C",7,2,7,2,1,NA,2,"Periphyton","Water_Clarity","Quite turbid, recent silt net had been set up downstream of bridge",-74.37234525,41.40857561
"N","N","13-WKLEI-0.6","B_13","WKLEI","R_0.6",41.77428948,-74.09780871,NA,"","","10/3/2018","11:00","10/3/2018 11:00","Lemley,Lojpersberger,Other","WALLKILL","",NA,"","","13-WKLEI-0.6-100318-R","13-WKLEI-0.6-100318-S","Sun","Rain","X","Not_Sampled","Waded","Bottle","N",15.6,157,7.08,8.57,85.6,0.07,"C","C",4,0,1,0,0,0,0,"Water_Clarity","Other","Low grad. High flow. Sampled with grab pole.",-74.09780871,41.77428948
"N","N","13-WKLEI-0.6","B_13","WKLEI","R_0.6",41.77464,-74.09647,NA,"","","9/5/2018","11:05:00","9/5/2018 11:05","Heitzman,Lojpersberger,Woltmann","WALLKILL","",0,"","","13-WKLEI-0.6-090518-R","13-WKLEI-0.6-090518-S","Sun","Sun","X","Not_Sampled","Waded","Bottle","N",22.9,303,7.6,4.5,51,0.14,"D","D",8,1,3,1,1,1,0,"Water_Clarity","None","Deep & gross",-74.09647,41.77464
"N","N","13-WKLEI-0.6","B_13","WKLEI","R_0.6",41.77464,-74.09647,NA,"","","8/14/2018","10:06:00","8/14/2018 10:06","Stoll,Other","WALLKILL","",NA,"","","","","Clouds","Rain","X","","Waded","Depth_Integrated","N",21.4,180.4,7.23,0.51,5.8,0.08,"E","D",9,0,0,0,0,1,0,"Water_Clarity","","",-74.09647,41.77464
"N","N","13-WKLEI-0.6","B_13","WKLEI","R_0.6",41.77464,-74.09647,NA,"","","7/24/2018","11:20:00","7/24/2018 11:20","Other,Stoll","WALLKILL","",NA,"","","","","Clouds","Rain","X","Not_Sampled","Waded","Bottle","N",22.1,312,7.23,7,81,0.15,"D","D",10,0,2,0,0,0,0,"Water_Clarity","Water_Clarity","Heard and saw a deer, see upstream pic.",-74.09647,41.77464
"N","N","13-WKLEI-0.6","B_13","WKLEI","R_0.6",41.77464,-74.09647,NA,"","","7/10/2018","13:13:00","7/10/2018 13:13","Heitzman,Lojpersberger,Other,Wright","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",24.2,298.5,7.4,4.6,55,0.14,"E","D",10,0,5,0,1,0,0,"Water_Clarity","Other","Flow 1.6 depth
0.04 velocity, 15ft across
Slow, muddy, deep creek
Canopy:35%",-74.09647,41.77464
